,Companhia,Data de Coleta,Data da Passagem,Preço Mínimo,Média dos Preços
0,Gol,2023-07-17,2023-07-18,1907.64,2144.79
0,Latam,2023-07-17,2023-07-18,1865.74,1962.27
0,Azul,2023-07-17,2023-07-18,1827.64,2173.12
0,Azul,2023-07-17,2023-08-01,928.64,1411.14
0,Gol,2023-07-17,2023-08-01,,
0,Latam,2023-07-17,2023-08-01,856.74,1100.3
0,Gol,2023-07-17,2023-08-16,,
0,Latam,2023-07-17,2023-08-16,680.74,994.18
0,Azul,2023-07-17,2023-08-16,673.64,914.68
0,Latam,2023-07-17,2023-08-31,676.74,940.29
0,Azul,2023-07-17,2023-08-31,673.64,991.0
0,Gol,2023-07-17,2023-08-31,616.64,895.17
0,Azul,2023-07-17,2023-09-15,661.64,1242.16
0,Gol,2023-07-17,2023-09-15,616.64,898.69
0,Latam,2023-07-17,2023-09-15,676.74,873.66
0,Gol,2023-07-17,2023-09-30,616.64,1205.64
0,Latam,2023-07-17,2023-09-30,676.74,962.59
0,Azul,2023-07-17,2023-09-30,661.64,1169.82
0,Gol,2023-07-17,2023-10-15,1276.74,1909.46
0,Azul,2023-07-17,2023-10-15,1222.64,1673.9
0,Latam,2023-07-17,2023-10-15,1380.74,1516.65
0,Azul,2023-07-17,2023-10-30,783.64,1126.47
0,Latam,2023-07-17,2023-10-30,676.74,835.67
0,Gol,2023-07-17,2023-10-30,616.64,942.79
0,Gol,2023-07-17,2023-11-14,616.64,1269.84
0,Latam,2023-07-17,2023-11-14,836.74,1076.35
0,Azul,2023-07-17,2023-11-14,729.64,1036.72
0,Azul,2023-07-17,2023-11-29,673.64,896.97
0,Gol,2023-07-17,2023-11-29,616.64,1630.51
0,Latam,2023-07-17,2023-11-29,676.74,813.51
0,Gol,2023-07-17,2023-12-14,758.64,1277.95
0,Latam,2023-07-17,2023-12-14,676.74,954.85
0,Azul,2023-07-17,2023-12-14,1031.64,1356.43
0,Latam,2023-07-17,2023-12-29,1083.74,1399.69
0,Azul,2023-07-17,2023-12-29,1222.64,1652.35
0,Gol,2023-07-17,2023-12-29,1336.64,1544.39
0,Azul,2023-07-17,2024-01-13,1031.64,1243.18
0,Latam,2023-07-17,2024-01-13,927.74,1279.35
0,Gol,2023-07-17,2024-01-13,1012.64,1503.03
0,Latam,2023-07-17,2024-01-28,836.74,1061.45
0,Gol,2023-07-17,2024-01-28,886.64,1258.32
0,Azul,2023-07-17,2024-01-28,1031.64,1337.35
0,Gol,2023-07-17,2024-02-12,,
0,Latam,2023-07-17,2024-02-12,1797.74,1812.77
0,Azul,2023-07-17,2024-02-12,1031.64,1344.97
0,Gol,2023-07-17,2024-02-27,616.64,764.59
0,Azul,2023-07-17,2024-02-27,736.64,929.97
0,Latam,2023-07-17,2024-02-27,927.74,1061.65
0,Gol,2023-07-17,2024-03-13,723.64,921.69
0,Azul,2023-07-17,2024-03-13,736.64,953.35
0,Latam,2023-07-17,2024-03-13,680.74,1016.08
0,Latam,2023-07-17,2024-03-28,1797.74,1811.54
0,Azul,2023-07-17,2024-03-28,1031.64,1444.43
0,Gol,2023-07-17,2024-03-28,616.64,1399.29
0,Gol,2023-07-17,2024-04-12,616.64,764.59
0,Azul,2023-07-17,2024-04-12,736.64,923.6
0,Latam,2023-07-17,2024-04-12,676.74,926.28
0,Gol,2023-07-17,2024-04-27,616.64,771.07
0,Azul,2023-07-17,2024-04-27,736.64,921.85
0,Latam,2023-07-17,2024-04-27,676.74,821.07
0,Azul,2023-07-17,2024-05-12,736.64,921.6
0,Gol,2023-07-17,2024-05-12,616.64,768.26
0,Latam,2023-07-17,2024-05-12,836.74,1055.75
0,Azul,2023-07-17,2024-05-27,736.64,935.56
0,Azul,2023-07-17,2024-06-11,736.64,897.14
0,Azul,2023-07-17,2024-06-26,736.64,900.97
0,Azul,2023-07-17,2024-07-11,1031.64,1328.93
