,Companhia,Data de Coleta,Data da Passagem,Preço Mínimo,Média dos Preços
0,Gol,2023-07-21,2023-07-22,882.64,1889.47
0,Latam,2023-07-21,2023-07-22,1653.74,2269.23
0,Azul,2023-07-21,2023-07-22,1346.64,1933.54
0,Gol,2023-07-21,2023-08-05,882.64,1266.12
0,Azul,2023-07-21,2023-08-05,900.64,1310.14
0,Latam,2023-07-21,2023-08-05,1045.74,1231.23
0,Latam,2023-07-21,2023-08-20,743.74,1177.54
0,Gol,2023-07-21,2023-08-20,775.64,1240.96
0,Azul,2023-07-21,2023-08-20,636.64,1227.89
0,Gol,2023-07-21,2023-09-04,628.74,854.91
0,Azul,2023-07-21,2023-09-04,636.64,1424.12
0,Latam,2023-07-21,2023-09-04,743.74,825.34
0,Gol,2023-07-21,2023-09-19,628.74,1115.02
0,Latam,2023-07-21,2023-09-19,679.74,899.97
0,Azul,2023-07-21,2023-09-19,636.64,1028.2
0,Gol,2023-07-21,2023-10-04,628.74,935.27
0,Latam,2023-07-21,2023-10-04,679.74,826.77
0,Azul,2023-07-21,2023-10-04,636.64,933.52
0,Gol,2023-07-21,2023-10-19,628.74,970.92
0,Azul,2023-07-21,2023-10-19,636.64,921.64
0,Latam,2023-07-21,2023-10-19,679.74,854.84
0,Gol,2023-07-21,2023-11-03,628.74,962.12
0,Azul,2023-07-21,2023-11-03,1229.64,1522.68
0,Latam,2023-07-21,2023-11-03,912.74,1183.91
0,Azul,2023-07-21,2023-11-18,1229.64,1472.07
0,Gol,2023-07-21,2023-11-18,1152.74,2033.69
0,Latam,2023-07-21,2023-11-18,1207.74,1436.11
0,Gol,2023-07-21,2023-12-03,670.64,869.72
0,Azul,2023-07-21,2023-12-03,636.64,1085.43
0,Latam,2023-07-21,2023-12-03,679.74,927.85
0,Gol,2023-07-21,2023-12-18,,
0,Latam,2023-07-21,2023-12-18,912.74,1109.62
0,Azul,2023-07-21,2023-12-18,1031.64,1372.47
0,Gol,2023-07-21,2024-01-02,1207.64,1484.19
0,Azul,2023-07-21,2024-01-02,1229.64,1469.52
0,Latam,2023-07-21,2024-01-02,1574.74,1985.09
0,Azul,2023-07-21,2024-01-17,1031.64,1314.72
0,Gol,2023-07-21,2024-01-17,827.64,1226.07
0,Latam,2023-07-21,2024-01-17,912.74,1115.18
0,Gol,2023-07-21,2024-02-01,,
0,Latam,2023-07-21,2024-02-01,679.74,1049.62
0,Azul,2023-07-21,2024-02-01,739.64,1004.85
0,Azul,2023-07-21,2024-02-16,1031.64,1295.43
0,Latam,2023-07-21,2024-02-16,1800.74,1897.01
0,Gol,2023-07-21,2024-02-16,670.64,1393.84
0,Latam,2023-07-21,2024-03-02,912.74,1106.15
0,Gol,2023-07-21,2024-03-02,670.64,868.5
0,Azul,2023-07-21,2024-03-02,752.64,912.93
0,Latam,2023-07-21,2024-03-17,763.74,1091.88
0,Gol,2023-07-21,2024-03-17,670.64,819.76
0,Azul,2023-07-21,2024-03-17,752.64,1000.94
0,Latam,2023-07-21,2024-04-01,1800.74,1899.05
0,Azul,2023-07-21,2024-04-01,1031.64,1345.14
0,Gol,2023-07-21,2024-04-01,670.64,1441.44
0,Gol,2023-07-21,2024-04-16,670.64,781.39
0,Latam,2023-07-21,2024-04-16,679.74,891.44
0,Azul,2023-07-21,2024-04-16,739.64,904.31
0,Gol,2023-07-21,2024-05-01,670.64,931.12
0,Azul,2023-07-21,2024-05-01,752.64,909.14
0,Latam,2023-07-21,2024-05-01,679.74,793.57
0,Gol,2023-07-21,2024-05-16,670.64,808.94
0,Latam,2023-07-21,2024-05-16,679.74,817.47
0,Azul,2023-07-21,2024-05-16,,
0,Azul,2023-07-21,2024-05-31,1105.64,1189.14
0,Azul,2023-07-21,2024-06-15,752.64,823.89
0,Azul,2023-07-21,2024-06-30,912.64,1282.14
0,Azul,2023-07-21,2024-07-15,912.64,1282.14
