,Companhia,Data de Coleta,Data da Passagem,Preço Mínimo,Média dos Preços
0,Gol,2023-07-16,2023-07-17,1907.64,2232.28
0,Latam,2023-07-16,2023-07-17,,
0,Azul,2023-07-16,2023-07-17,1827.64,2431.29
0,Gol,2023-07-16,2023-07-31,,
0,Azul,2023-07-16,2023-07-31,1167.64,1513.34
0,Latam,2023-07-16,2023-07-31,956.67,1315.18
0,Gol,2023-07-16,2023-08-15,,
0,Latam,2023-07-16,2023-08-15,520.74,787.22
0,Azul,2023-07-16,2023-08-15,639.64,997.36
0,Gol,2023-07-16,2023-08-30,,
0,Latam,2023-07-16,2023-08-30,520.74,719.54
0,Azul,2023-07-16,2023-08-30,634.64,907.24
0,Latam,2023-07-16,2023-09-14,520.74,745.3
0,Azul,2023-07-16,2023-09-14,661.64,935.12
0,Gol,2023-07-16,2023-09-14,,
0,Gol,2023-07-16,2023-09-29,,
0,Latam,2023-07-16,2023-09-29,520.74,799.95
0,Azul,2023-07-16,2023-09-29,661.64,1230.12
0,Gol,2023-07-16,2023-10-14,616.64,1731.14
0,Latam,2023-07-16,2023-10-14,758.34,1271.32
0,Azul,2023-07-16,2023-10-14,1031.64,1565.26
0,Latam,2023-07-16,2023-10-29,520.74,810.0
0,Gol,2023-07-16,2023-10-29,,
0,Azul,2023-07-16,2023-10-29,,
0,Gol,2023-07-16,2023-11-13,,
0,Azul,2023-07-16,2023-11-13,837.64,1506.26
0,Latam,2023-07-16,2023-11-13,520.74,905.98
0,Gol,2023-07-16,2023-11-28,,
0,Azul,2023-07-16,2023-11-28,673.64,729.64
0,Latam,2023-07-16,2023-11-28,572.74,863.35
0,Gol,2023-07-16,2023-12-13,616.64,906.38
0,Azul,2023-07-16,2023-12-13,1222.64,1524.64
0,Latam,2023-07-16,2023-12-13,572.74,762.31
0,Gol,2023-07-16,2023-12-28,,
0,Latam,2023-07-16,2023-12-28,959.74,1378.72
0,Azul,2023-07-16,2023-12-28,1222.64,1524.64
0,Latam,2023-07-16,2024-01-12,959.74,1144.54
0,Gol,2023-07-16,2024-01-12,,
0,Azul,2023-07-16,2024-01-12,1222.64,1537.02
0,Latam,2023-07-16,2024-01-27,836.74,1098.71
0,Azul,2023-07-16,2024-01-27,1031.64,1325.89
0,Gol,2023-07-16,2024-01-27,,
0,Latam,2023-07-16,2024-02-11,1745.74,1768.07
0,Azul,2023-07-16,2024-02-11,1222.64,1561.76
0,Gol,2023-07-16,2024-02-11,,
0,Latam,2023-07-16,2024-02-26,572.74,865.7
0,Azul,2023-07-16,2024-02-26,798.64,818.14
0,Gol,2023-07-16,2024-02-26,616.64,780.79
0,Gol,2023-07-16,2024-03-12,,
0,Azul,2023-07-16,2024-03-12,736.64,767.89
0,Latam,2023-07-16,2024-03-12,959.74,1105.38
0,Latam,2023-07-16,2024-03-27,1745.74,1769.41
0,Azul,2023-07-16,2024-03-27,1651.64,1739.14
0,Gol,2023-07-16,2024-03-27,616.64,1321.94
0,Azul,2023-07-16,2024-04-11,736.64,774.64
0,Latam,2023-07-16,2024-04-11,572.74,743.84
0,Gol,2023-07-16,2024-04-11,616.64,767.16
0,Gol,2023-07-16,2024-04-26,,
0,Azul,2023-07-16,2024-04-26,736.64,794.89
0,Latam,2023-07-16,2024-04-26,676.74,936.15
0,Gol,2023-07-16,2024-05-11,616.64,795.97
0,Latam,2023-07-16,2024-05-11,676.74,836.27
0,Azul,2023-07-16,2024-05-11,736.64,839.52
0,Azul,2023-07-16,2024-05-26,736.64,802.64
0,Azul,2023-07-16,2024-06-10,798.64,818.14
0,Azul,2023-07-16,2024-06-25,736.64,794.89
0,Azul,2023-07-16,2024-07-10,1057.64,1442.14
